Medicine Name,Company Name,Product Code,Purchase Price,Sale Price,Store Stock,Warehouse Stock,Category,Minimum Alert Level
"K Clear Drop","Armaa pvt Pharma","Armaa pvt",0,0,0,0,"Homeopathic Drops","1"
"Nemsol +","Public Pharma","Public Pharma",0,0,0,0,"Homeopathic Drops","1"
"Alernil tab","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"paintach Tab","Almanan Pharma","Almanan",0,0,0,0,"Homeopathic Drops","1"
"HFP 59","HFP Pvt Ltd","HFP",0,0,0,0,"Homeopathic Drops","1"
"30 potiwnce 30ml","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Iris veg 200","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Veratum Alb 200 (BM.)","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","1"
"Broyaina 30","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Moringa Syp 240ml","BLOSSOM Homeo Labs","BL",0,0,0,0,"Homeopathic Drops","1"
"Kent thymus","Kent Homoeopathic Pharmacy","Kent",0,0,0,0,"Homeopathic Drops","1"
"Kent thymus 120ml","Kent Homoeopathic Pharmacy","Kent",0,0,0,0,"Homeopathic Drops","1"
"HR No 413","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Silajit tab","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Rhus Tox 200","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Cantharis 30","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Thuja 1m (Shwabe)","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"Acid Phos 200","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Crotalus hor 30 30ml","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","1"
"Ma","TS Pharma","TS",0,0,0,0,"Homeopathic Drops","1"
"Arsenicum album 200","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Anacardium 200","MEKTUM Homeo Pharma","MEK",0,0,0,0,"Homeopathic Drops","1"
"Kali phos","Clinic Internal Preparation","Clinic",0,0,0,0,"Homeopathic Drops","1"
"A - 16","Clinic Internal Preparation","Clinic",0,0,0,0,"Homeopathic Drops","1"
"Alumin 30","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Gnaphallum 200","Farhan Homoeo","Farhan",0,0,0,0,"Homeopathic Drops","1"
"Guaiacum 200","Farhan Homoeo","Farhan",0,0,0,0,"Homeopathic Drops","1"
"Malshi Maram","Kamal Laboratories","KAMAL",0,0,0,0,"Homeopathic Drops","60"
"Kl 7","Kamal Laboratories","KAMAL",0,0,0,0,"Homeopathic Drops","12"
"Ruk cap","Kamal Laboratories","KAMAL",0,0,0,0,"Homeopathic Drops","12"
"Lori tab blister","Kamal Laboratories","KAMAL",0,0,0,0,"Homeopathic Drops","12"
"Kufzit 120ml","Kamal Laboratories","KAMAL",0,0,0,0,"Homeopathic Drops","60"
"Sabal Serr Q 450ml","Kamal Laboratories","KAMAL",0,0,0,0,"Homeopathic Drops","4"
