"ID","Item Name","Item Code","Naration","Minimum Level","Sale Price","Purchase Price"
"585","Growth-Up Baby Tonic 120Ml Syp","HFP","0","20","230","150"
"586","Gyno Plus 120Ml Syp","HFP","0","30","150","150"
"587","H-Biotic 120Ml Syp","HFP","0","30","230","135"
"588","Khoon Safi 120Ml Syp","HFP","0","20","150","130"
"589","Liver Rex 120Ml Syp","HFP","0","30","230","180"
"590","Uronal 120Ml Syp","HFP","0","50","230","230"
"591","Uronal 250Ml Syp","HFP","0","25","350","350"
"592","Calci + 250Ml Syp","HFP","0","40","375","320"
"593","Jam-E-Qalb 250Ml Syp","HFP","0","25","300","170"
"594","Nervo + 250Ml Syp","HFP","0","25","375","375"
"595","Power Inn 250Ml Syp","HFP","0","30","375","320"
"596","Sharbat-E-Fload 250Ml Syp","HFP","0","25","375","375"
